Rice,June - July,November - December,Manual,Cut the paddy using a sickle at 80-85% maturity,"Thanjavur, Trichy, Nagapattinam, Thiruvarur, Kanchipuram",120-135,"Clay loam, Alluvial","Canal Irrigation, Tank Irrigation, Well Irrigation",Use high-yield varieties and proper spacing; Apply fertilizers based on soil test recommendations,"Thanjavur, Trichy, Nagapattinam, Thiruvarur, Cuddalore","Canal Irrigation, Tank Irrigation",Use high-yield varieties and proper spacing. Apply zinc sulphate.,"Thanjavur, Trichy, Nagapattinam",120,Clay loam,Canal Irrigation,Use high-yield varieties and proper spacing,Crop Name,Sowing Season,Harvesting Season,Harvesting Method,Harvesting Instructions,Suitable Districts,Duration (days),Soil Type,Irrigation Method,Yield Tips,"Thanjavur, Trichy, Nagapattinam, Thiruvarur",135,"Use high-yield varieties and proper spacing, manage water effectively","Use high-yield varieties, proper spacing, and integrated nutrient management",Use high-yield varieties and proper spacing. Apply fertilizers as per soil test recommendations.,"Thanjavur, Trichy, Madurai",Use high-yield varieties and proper spacing. Manage water effectively.,"Thanjavur, Trichy","Use high-yield varieties and proper spacing, manage pests and diseases effectively"
Maize,"June - July, September - October","October - November, January - February","Manual, Mechanical",Harvest when kernels are hard and moisture content is low,"Coimbatore, Dindigul, Perambalur, Ariyalur, Salem",90-120,"Sandy loam, Red soil","Well Irrigation, Drip Irrigation",Ensure proper drainage; Control weeds effectively; Supply adequate nutrients,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,"June - July, January - February","October - November, May - June","Manual, Mechanical",Harvest when pods are mature and kernels are pinkish-red,"Villupuram, Tiruvannamalai, Vellore, Cuddalore, Salem",120-150,"Sandy loam, Red sandy loam","Well Irrigation, Rainfed",Provide gypsum during flowering; Manage leaf spot disease; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,"January - March, July - September","January - March (following year), July - September (following year)",Manual,Cut the cane close to the ground; Remove the leaves before crushing,"Coimbatore, Erode, Karur, Tiruchirappalli, Namakkal",365,"Loamy soil, Clay loam","Canal Irrigation, Well Irrigation",Ensure adequate water supply; Apply organic manures; Control sugarcane borers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,June - July,December - January,"Manual, Mechanical",Pick the cotton bolls when fully opened and dry,"Coimbatore, Madurai, Virudhunagar, Tiruppur, Theni",180-200,"Black soil, Alluvial soil","Well Irrigation, Canal Irrigation",Control bollworms effectively; Practice intercropping with pulses; Manage whitefly,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackgram,"June - July, September - October","August - September, December - January",Manual,Harvest when pods are black and dry,"Thanjavur, Nagapattinam, Tiruvarur, Villupuram, Cuddalore",60-75,"Sandy loam, Black soil","Well Irrigation, Rainfed",Provide adequate phosphorus; Control yellow mosaic virus; Practice summer ploughing,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greengram,"June - July, September - October","August - September, December - January",Manual,Harvest when pods are yellow and dry,"Salem, Namakkal, Dharmapuri, Krishnagiri, Erode",60-70,"Sandy loam, Red soil","Well Irrigation, Rainfed",Inoculate seeds with Rhizobium; Control pod borers; Practice crop rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turmeric,April - May,January - February (following year),Manual,Dig out the rhizomes when leaves turn yellow and dry,"Erode, Salem, Karur, Namakkal, Tiruchirappalli",270-300,"Sandy loam, Red loam","Well Irrigation, Drip Irrigation",Provide adequate shade; Apply organic manures; Control rhizome rot,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana,Throughout the year (planting),12-15 months after planting,Manual,Cut the bunch when fruits are mature and plump,"Tiruchirappalli, Theni, Tuticorin, Kanyakumari, Tirunelveli",365-450,"Loamy soil, Clay loam","Drip Irrigation, Canal Irrigation",Provide adequate support to the plant; Control banana bunchy top virus; Apply potassium-rich fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconut,Throughout the year (planting),5-7 years after planting,Manual,Climb the tree and harvest the matured nuts,"Coimbatore, Thanjavur, Kanyakumari, Tirunelveli, Pollachi",Perennial,"Sandy loam, Laterite soil","Rainfed, Well Irrigation",Provide adequate nutrients; Control coconut mite; Practice intercropping,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cashew,Throughout the year (planting),February - May,Manual,Collect the cashew apples and nuts when they fall from the tree,"Cuddalore, Pudukkottai, Sivaganga, Ramanathapuram, Thanjavur",Perennial,"Sandy loam, Red sandy loam",Rainfed,Control tea mosquito bug; Provide proper drainage; Apply boron fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
