scheme_name,description,eligibility,apply_link,scraped_date
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),"Provides income support of ₹6,000 per year in three equal installments to all landholding farmer families.",All landholding farmer families with cultivable land in their names.,https://pmkisan.gov.in/,2025-05-16
Pradhan Mantri Fasal Bima Yojana (PMFBY),Provides comprehensive risk coverage against crop losses due to natural calamities.,All farmers growing notified crops in notified areas are eligible.  Enrollment is voluntary.,https://pmfby.gov.in/,2025-05-16
Kisan Credit Card (KCC),Provides farmers with timely and adequate credit for their cultivation needs.,"Farmers, tenant farmers, oral lessees & share croppers.",https://agricoop.nic.in/en/KisanCreditCard,2025-05-16
National Food Security Mission (NFSM),"Aims to increase the production of rice, wheat, pulses, coarse cereals and nutri-cereals through area expansion and productivity enhancement.","Farmers involved in the cultivation of rice, wheat, pulses, coarse cereals, and nutri-cereals.",https://nfsm.gov.in/,2025-05-16
National Mission on Sustainable Agriculture (NMSA),Promotes sustainable agricultural practices to enhance productivity and resource efficiency.,Farmers adopting sustainable agricultural practices.,https://nmsa.dac.gov.in/,2025-05-16
Paramparagat Krishi Vikas Yojana (PKVY),Promotes organic farming through cluster approach with Participatory Guarantee System (PGS) certification.,Groups of farmers interested in adopting organic farming.,https://pgsindia-ncof.gov.in/,2025-05-16
Rashtriya Krishi Vikas Yojana (RKVY),Aims to achieve 4% annual growth in agriculture through strategic interventions.,State Governments.,https://rkvy.nic.in/,2025-05-16
Mission for Integrated Development of Horticulture (MIDH),"Promotes holistic growth of the horticulture sector, including fruits, vegetables, root & tuber crops, mushrooms, spices, flowers, aromatic plants, coconut, cashew, cocoa and bamboo.",Horticulture farmers.,https://midh.gov.in/,2025-05-16
Sub-Mission on Agricultural Mechanization (SMAM),Promotes the use of agricultural machinery to enhance productivity and reduce drudgery.,Farmers purchasing agricultural machinery.,https://agricoop.nic.in/en/Agricultural_Mechanization,2025-05-16
Soil Health Card Scheme,Provides farmers with soil health cards containing information on nutrient status and fertilizer recommendations.,All farmers with agricultural land.,https://soilhealth.dac.gov.in/,2025-05-16
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Aims to enhance water use efficiency and promote water conservation.,Farmers with agricultural land.,https://pmksy.gov.in/,2025-05-16
Tamil Nadu Irrigated Agriculture Modernization Project (TN-IAMP),Modernization of irrigation systems and promotion of water-saving technologies. (World Bank aided),Farmers in selected irrigation command areas.,https://tn.gov.in,2025-05-16
Tamil Nadu Agricultural Development Scheme,"Various programs for agricultural development, including seed distribution, fertilizer subsidy, and crop protection measures.",Farmers in Tamil Nadu.,https://tnagrisnet.tn.gov.in/,2025-05-16
