Crop,Harvest Time,Best Harvesting Method
Wheat,120 to 150 days,Manual harvesting using sickles or combine harvesters; thresh and sun-dry
Rice ,110 to 150 days,Manual or mechanical harvesting; threshing and sun-drying
Maize ,90 to 120 days,Manual picking or mechanical harvesters when cobs are mature
Barley,120 to 130 days,Manual cutting and mechanical threshing
Millets ,80 to 120 days,Manual cutting; sun-dry and thresh
Gram ,110 to 125 days,Harvest when 80% pods dry; uproot and sun-dry
Lentil ,100 to 110 days,Manual harvesting; dry and thresh
Moong ,60 to 70 days,Harvest when most pods mature; uproot and dry
Urad ,70 to 90 days,Manual harvest; dry and thresh
Arhar ,150 to 180 days,Manual cutting of plants when pods dry
Groundnut,100 to 120 days,Uproot manually or diggers; dry and shell
Mustard,90 to 110 days,Harvest when 70 to 80% pods turn yellow; cut and thresh
Soybean,90 to 120 days,Harvest when leaves drop and pods turn brown; use sickle or combine harvester
Sunflower,90 to 100 days,Cut heads when back of the flower turns yellow; dry and thresh
Sesame,85 to 95 days,Cut and dry entire plant upside down to collect seeds
Sugarcane,10 to 12 months,Manual cutting with knives or mechanical harvesters
Cotton,160 to 180 days,Hand-picking mature bolls; avoid wet conditions
Jute,100 to 120 days,Harvest at early pod formation; retting done for fiber extraction
Tea,Plucking every 7 to 15 days,Manual plucking of two leaves and a bud
Coffee,Nov to Mar,Hand-pick ripe red cherries; wet or dry processing
Mango,90 to 120 days after flowering,Manual picking using poles or by hand
Banana,11 to 13 months,Cut the pseudostem and hang bunch to ripen
Guava,90 to 120 days,Manual plucking when fruit turns yellowish
Papaya,6 to 9 months,Harvest when fruit turns yellow at base
Pomegranate,5 to 7 months,Manual cutting when skin turns reddish and fruit is fully mature
Potato,90 to 120 days,Manual digging or using potato diggers
Tomato,60 to 85 days,Hand-picking at full red stage
Onion,100 to 120 days,Pull when tops fall over; cure bulbs in shade
Cabbage,70 to 90 days,Cut heads manually when firm
Cauliflower,70 to 100 days,Harvest when curds are compact and white
Turmeric,7 to 9 months,"Dig up rhizomes, boil, dry and polish"
Ginger,8 to 10 months,Manual harvesting by digging up rhizomes
Cardamom,3 to 4 months after flowering,Pick ripe capsules manually every 10 to 15 days
Black Pepper,6 to 8 months after flowering,Handpick mature red spikes; dry and process
Coconut,Every 45 to 60 days,Manual harvesting with climbers or tools
Areca nut,5 to 7 years after planting,Manual plucking of ripe nuts
Rubber,5 to 7 years after planting,Tapping with special knives early morning
Napier Grass,45 to 60 days,Harvest before flowering; cut manually or mechanically
Lucerne,60 to 75 days,Cut before flowering for high nutrition
Paddy,110 to 150 days,Manual or mechanical harvesting; threshing and sun-drying
Corn,90 to 120 days,Manual picking or mechanical harvesters when cobs are mature
Jowar,80 to 120 days,Manual cutting; sun-dry and thresh
Bajra,80 to 120 days,Manual cutting; sun-dry and thresh
Ragi,80 to 120 days,Manual cutting; sun-dry and thresh
Chana,110 to 125 days,Harvest when 80% pods dry; uproot and sun-dry
Masoor,100 to 110 days,Manual harvesting; dry and thresh
Green Gram,60 to 70 days,Harvest when most pods mature; uproot and dry
Black Gram,70 to 90 days,Manual harvest; dry and thresh
Toor,150 to 180 days,Manual cutting of plants when pods dry
Red Gram,150 to 180 days,Manual cutting of plants when pods dry
