scheme_name,description,eligibility,apply_link,scraped_date
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Income support of Rs.6000 per year in three equal installments to small and marginal farmer families.,Small and marginal farmer families who own cultivable land.,https://pmkisan.gov.in/,2025-05-16
Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop insurance scheme to provide financial support to farmers suffering crop loss/damage arising out of unforeseen events.,Farmers growing notified crops in notified areas.,,2025-05-16
"Tamil Nadu Agricultural Land Leasing Act, 2017","Provides a legal framework for agricultural land leasing, protecting the interests of both landowners and tenants.",Landowners and tenants involved in agricultural land leasing agreements.,,2025-05-16
Tamil Nadu Irrigated Agriculture Modernisation Project (TN-IAMWARM),To improve irrigation efficiency and productivity in selected sub-basins in Tamil Nadu,Farmers in the specified sub-basins are eligible to participate.,,2025-05-16
National Mission on Sustainable Agriculture (NMSA),"Aims at promoting sustainable agriculture practices to enhance agricultural productivity, especially in rainfed areas.",Farmers adopting sustainable agricultural practices.,,2025-05-16
Mission for Integrated Development of Horticulture (MIDH),"Promotes holistic growth of the horticulture sector including fruits, vegetables, root & tuber crops, mushrooms, spices, flowers, aromatic plants, cashew, cocoa and bamboo.",Farmers and entrepreneurs involved in horticulture activities.,,2025-05-16
National Food Security Mission (NFSM),"To increase production of rice, wheat, pulses and coarse cereals through area expansion and productivity enhancement.","Farmers cultivating rice, wheat, pulses and coarse cereals.",,2025-05-16
Tamil Nadu Watershed Development Agency (TAWDEVA),"Implements watershed development programs to improve soil and water conservation, and enhance agricultural productivity in rainfed areas.",Farmers and communities in selected watershed areas.,,2025-05-16
Agricultural Engineering Department Schemes,"Various schemes related to farm mechanization, irrigation equipment, and post-harvest management.","Varies depending on the specific scheme (e.g., small and marginal farmers may receive higher subsidies).",,2025-05-16
Tamil Nadu Horticulture Development Agency (TANHODA),"Promotes horticulture development through various schemes including nursery development, protected cultivation, and post-harvest management.",Farmers and entrepreneurs involved in horticulture activities.,,2025-05-16
Scheme for providing agriculture pumpsets with solar energy (PM-KUSUM component C),Provides solar-powered agricultural pumpsets to farmers.,Farmers with existing grid-connected agriculture pumpsets,,2025-05-16
State Agricultural Development Scheme,Various state-funded schemes aimed at promoting agriculture and allied activities.,Varies based on the specific scheme implemented under this umbrella.,,2025-05-16
Subsidized seed distribution,Distribution of seeds at subsidised rates to farmers.,Farmers cultivating crops for which the seeds are being distributed.,,2025-05-16





scheme_name,description,eligibility,apply_link,scraped_date
Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),"Financial assistance of Rs. 6,000 per year is provided to small and marginal farmers in three equal installments.",Small and marginal farmers owning cultivable land up to 2 hectares.,https://tn.gov.in/scheme/department_wise,2025-05-16
Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop insurance scheme providing financial support to farmers in case of crop loss due to natural calamities.,Farmers growing notified crops in notified areas.,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu Agricultural Land Leasing Act,Facilitates leasing of agricultural land to increase production and productivity.,Landowners and prospective tenants.,https://tn.gov.in/scheme/department_wise,2025-05-16
National Food Security Mission (NFSM),"Enhancing the production of rice, wheat, pulses, and coarse cereals through area expansion and productivity enhancement.","Farmers involved in the cultivation of rice, wheat, pulses, and coarse cereals.",https://tn.gov.in/scheme/department_wise,2025-05-16
Mission for Integrated Development of Horticulture (MIDH),"Promoting holistic growth of the horticulture sector, including fruits, vegetables, and spices.",Farmers involved in horticulture.,https://tn.gov.in/scheme/department_wise,2025-05-16
National Mission on Oilseeds and Oil Palm (NMOOP),Increasing the production of oilseeds and oil palm to reduce dependence on imports.,Farmers involved in oilseed and oil palm cultivation.,https://tn.gov.in/scheme/department_wise,2025-05-16
Paramparagat Krishi Vikas Yojana (PKVY),Promoting organic farming through cluster formation and adoption of organic practices.,Farmers willing to adopt organic farming.,https://tn.gov.in/scheme/department_wise,2025-05-16
Rainfed Area Development Programme (RADP),Integrated farming systems to enhance productivity and livelihood security in rainfed areas.,Farmers in rainfed areas.,https://tn.gov.in/scheme/department_wise,2025-05-16
Sub-Mission on Agricultural Mechanization (SMAM),Promoting the use of agricultural machinery to increase productivity and reduce drudgery.,Farmers purchasing agricultural machinery.,https://tn.gov.in/scheme/department_wise,2025-05-16
Soil Health Card Scheme,Providing soil health cards to farmers to enable them to use fertilizers judiciously.,All farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Micro Irrigation Scheme,Providing subsidy for installing micro-irrigation systems like drip and sprinkler irrigation.,Farmers willing to adopt micro-irrigation.,https://tn.gov.in/scheme/department_wise,2025-05-16
Agricultural Marketing Infrastructure (AMI),"Developing agricultural marketing infrastructure like godowns, cold storages, and pack houses.","Individuals, groups of farmers, cooperatives, and government agencies.",https://tn.gov.in/scheme/department_wise,2025-05-16
Interest Subvention Scheme,Providing interest subvention on agricultural loans to reduce the burden of interest payment on farmers.,Farmers availing agricultural loans from banks.,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu Irrigated Agriculture Modernisation Project (TN-IAMWARM),Improving irrigation efficiency and water management in selected sub-basins.,Farmers in the selected sub-basins.,https://tn.gov.in/scheme/department_wise,2025-05-16
Sugarcane Development Scheme,Enhancing sugarcane production and productivity through various interventions.,Sugarcane farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Coconut Development Board Schemes,Promoting coconut cultivation and processing.,Coconut farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Agricultural Technology Management Agency (ATMA),Disseminating agricultural technologies to farmers through various extension activities.,All farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
National Livestock Mission (NLM),"Promoting livestock development through breed improvement, feed and fodder development, and disease control.",Livestock farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Fisheries Development Schemes,Promoting sustainable fisheries and aquaculture development.,Fishermen and aquaculture farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
NABARD Schemes,Providing refinance and direct lending for agricultural and rural development projects.,"Individuals, groups of farmers, cooperatives, and government agencies.",https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu Watershed Development Agency (TAWDEVA),Implementing watershed development projects to conserve soil and water resources.,Farmers in the selected watershed areas.,https://tn.gov.in/scheme/department_wise,2025-05-16
Chief Minister's Solar Powered Pump Sets Scheme,Subsidy for installation of solar powered pump sets for irrigation.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Distribution of Agricultural Implements,Providing subsidized agricultural implements to farmers.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Supply of Certified Seeds,Distribution of certified seeds at subsidized rates to improve crop yields.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Integrated Nutrient Management (INM),Promoting the use of organic and inorganic fertilizers in a balanced manner to improve soil health.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Integrated Pest Management (IPM),Promoting the use of eco-friendly pest control methods to minimize the use of chemical pesticides.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Post Harvest Management (PHM),"Providing support for post-harvest handling, processing, and storage of agricultural produce.","Farmers, processors, and entrepreneurs.",https://tn.gov.in/scheme/department_wise,2025-05-16
Agricultural Extension Services,Providing extension services to farmers to disseminate information on new technologies and best practices.,All farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Farmers Training Programs,Conducting training programs for farmers to improve their skills and knowledge.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
e-NAM (National Agriculture Market),Online trading platform to facilitate farmers to sell their produce at competitive prices.,Farmers and traders.,https://tn.gov.in/scheme/department_wise,2025-05-16
Kisan Credit Card (KCC),Provides farmers with access to credit for agricultural inputs and other needs.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),To improve water use efficiency and expand irrigation coverage.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Rashtriya Krishi Vikas Yojana (RKVY),To achieve 4% annual growth in agriculture by incentivizing states to increase investment in agriculture and allied sectors.,State government and farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Coconut Palm Insurance Scheme,Insurance coverage for coconut palms against various risks.,Coconut farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu Cotton Cultivation Mission,To improve cotton production and productivity in the state.,Cotton farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu Horticulture Development Agency (TANHODA),Promoting horticulture development in the state.,Horticulture farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu Agricultural University (TNAU) Schemes,Various research and extension schemes for agriculture development.,Farmers and researchers.,https://agritech.tnau.ac.in/,2025-05-16
Agricultural Produce Marketing Committee (APMC),Regulating agricultural marketing and providing infrastructure facilities.,Farmers and traders.,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu Small Farmers Agri-Business Consortium (TN SFAC),Promoting agri-business ventures by small farmers.,Small farmers and agri-entrepreneurs.,https://tn.gov.in/scheme/department_wise,2025-05-16
Agricultural Technology Information Centres (ATICs),Providing information and services to farmers.,All farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Precision Farming,Promoting precision farming techniques to optimize resource use and improve productivity.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Promotion of Agricultural Exports,Providing support for agricultural exports from Tamil Nadu.,Exporters of agricultural products.,https://tn.gov.in/scheme/department_wise,2025-05-16
Rural Infrastructure Development Fund (RIDF),"Financing rural infrastructure projects, including agriculture-related infrastructure.",Government agencies and cooperatives.,https://tn.gov.in/scheme/department_wise,2025-05-16
National Mission for Sustainable Agriculture (NMSA),Promoting sustainable agricultural practices.,Farmers with agricultural land.,https://tn.gov.in/scheme/department_wise,2025-05-16
Pradhan Mantri Matsya Sampada Yojana (PMMSY),Sustainable development of the fisheries sector.,Fishermen and aquaculture farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu State Agricultural Marketing Board (TNSAMB),Regulating agricultural marketing and providing infrastructure facilities.,Farmers and traders.,https://tn.gov.in/scheme/department_wise,2025-05-16
Dryland Development Programme (DD),Improving productivity in dryland areas through water conservation and other measures.,Farmers in dryland areas.,https://tn.gov.in/scheme/department_wise,2025-05-16
Command Area Development and Water Management (CADWM),Improving irrigation efficiency in command areas.,Farmers in command areas.,https://tn.gov.in/scheme/department_wise,2025-05-16
Integrated Scheme on Agriculture Census and Statistics (ISACS),Collection and compilation of agricultural statistics.,N/A,,2025-05-16
Cooperative Credit Structure,Providing credit to farmers through cooperative banks.,Farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Warehousing Development and Regulatory Authority (WDRA),Promoting warehousing development and regulating warehouses.,Warehouse owners and users.,https://tn.gov.in/scheme/department_wise,2025-05-16
Farm Mechanization Custom Hiring Centres,Providing access to farm machinery for small and marginal farmers.,Small and marginal farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
State Horticulture Mission (SHM),Promoting horticulture development in the state.,Horticulture farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Oil Palm Development Programme,Promoting oil palm cultivation.,Farmers willing to cultivate oil palm.,https://tn.gov.in/scheme/department_wise,2025-05-16
Seed Village Scheme,Producing quality seeds at the village level.,Farmers willing to produce seeds.,https://tn.gov.in/scheme/department_wise,2025-05-16
Plant Protection Schemes,Providing support for plant protection measures.,Farmers with agricultural crops.,https://tn.gov.in/scheme/department_wise,2025-05-16
Agricultural Information Management System (AGRISNET),Providing agricultural information to farmers.,All farmers.,http://tnagrisnet.tn.gov.in/,2025-05-16
Farmer Producer Organizations (FPOs),Promoting farmer producer organizations to improve bargaining power and access to markets.,Groups of farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
National Bamboo Mission (NBM),Promoting bamboo cultivation and utilization.,Farmers and entrepreneurs.,https://tn.gov.in/scheme/department_wise,2025-05-16
Sericulture Development Schemes,Promoting sericulture development.,Sericulture farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu Rainfed Area Development Agency (TNRADA),Implementing rainfed area development programs.,Farmers in rainfed areas.,https://tn.gov.in/scheme/department_wise,2025-05-16
State Balanced Growth Fund (SBGF),Funding for agriculture and rural development projects.,Government agencies.,https://tn.gov.in/scheme/department_wise,2025-05-16
Per drop more crop,Micro irrigation scheme,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
State Seed Farms,Producing and distributing seeds.,Farmers.,https://tn.gov.in/scheme/department_wise,2025-05-16
Agri Clinics and Agri Business Centres,Supporting agripreneurship,Agriculture graduates,https://tn.gov.in/scheme/department_wise,2025-05-16
National Food Security Mission - Oilseeds and Oil Palm,Increasing production,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
National Mission on Agricultural Extension and Technology (NMAET),Improving extension services,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Revamped Interest Subvention Scheme for Kisan Credit Card (KCC),Interest subvention for KCC loans,KCC holders,https://tn.gov.in/scheme/department_wise,2025-05-16
Agriculture Infrastructure Fund (AIF),Providing medium-long term debt financing facility for investment in viable projects for post-harvest management Infrastructure and community farming assets,"Farmers, FPOs, PACS, Agri-entrepreneurs, Startups, etc.",https://tn.gov.in/scheme/department_wise,2025-05-16
Price Deficiency Payment Scheme,Compensation when prices fall below a threshold.,Farmers growing specific crops.,https://tn.gov.in/scheme/department_wise,2025-05-16
Rythu Bandhu Scheme (Telangana),Direct benefit transfer scheme for investment support.,Farmers owning land.,,2025-05-16
Bhavantar Bhugtan Yojana (Madhya Pradesh),Price deficiency payment scheme.,Farmers growing specific crops.,,2025-05-16
Crop Diversification Programme,Encouraging diversification to less water-intensive crops.,Farmers in specific areas.,https://tn.gov.in/scheme/department_wise,2025-05-16
State Agricultural Development Scheme,Various state-specific agricultural development initiatives.,Farmers and agri-entrepreneurs.,https://tn.gov.in/scheme/department_wise,2025-05-16
Agriculture Contingency Plan,Measures to mitigate the impact of adverse weather conditions.,Farmers in vulnerable areas.,https://tn.gov.in/scheme/department_wise,2025-05-16
Promotion of Organic Farming,Financial and technical assistance for organic farming.,Farmers adopting organic practices.,https://tn.gov.in/scheme/department_wise,2025-05-16
Rural Godown Scheme,Subsidy for construction of rural godowns.,"Farmers, groups of farmers, and entrepreneurs.",https://tn.gov.in/scheme/department_wise,2025-05-16
Grameen Bhandaran Yojana,Scheme for rural storage,"Farmers, groups of farmers, and entrepreneurs",https://tn.gov.in/scheme/department_wise,2025-05-16
Dairy Entrepreneurship Development Scheme,Financial support for dairy farming ventures.,Individuals and groups interested in dairy farming.,https://tn.gov.in/scheme/department_wise,2025-05-16
National Bee Keeping and Honey Mission,To promote beekeeping and increase honey production,Beekeepers,https://tn.gov.in/scheme/department_wise,2025-05-16
Integrated Cooperative Development Project Scheme,Financial Assistance for Multi-purpose cooperative societies,Multi-purpose cooperative societies,https://tn.gov.in/scheme/department_wise,2025-05-16
Assistance for constructing threshing floor-cum-drying yard,Financial assistance provided to farmers,Small and Marginal Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Agricultural Technology Management Agency(ATMA) Scheme,"Empowering farmer groups, promotion of technology",Farmers and farmer groups,https://tn.gov.in/scheme/department_wise,2025-05-16
Micro Nutrient Mixture,Provision of micro nutrient mixture,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Agricultural implements at subsidized cost,Provision of implements at subsidized cost,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Providing incentives for compost manure,Providing incentives for compost manure,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Dissemination of technology,Farmers will be given training on new technologies,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Strengthening of agricultural extension,Providing infrastructure to aid the agriculture sector,Agriculture graduates,https://tn.gov.in/scheme/department_wise,2025-05-16
National Mission for Sustainable Agriculture,Resource Conservation Technologies,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Integrated Farming System,Farmers will get training to do integrated farming,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
National Horticulture Mission,Provides farmers with the facilities to aid horticulture,Horticulture farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu irrigation management modernisation project,Provision of water to irrigate lands,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Special component plan for scheduled castes,Special plan to benefit scheduled caste farmers,Scheduled caste farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Tribal sub-plan,Special plan to benefit tribal farmers,Tribal farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
The state agricultural policy,To improve the state of agriculture in tamil nadu,Farmers,https://tn.gov.in/scheme/department_wise,2025-05-16
Tamil Nadu agricultural land record online,Helps to access land records,Land owners,https://tn.gov.in/scheme/department_wise,2025-05-16
